benchmark,transport,scenario,payload_size,sample,duration_ns,throughput_mbps
payload_scaling,TCP,10ms,128B,12,24013,5.3304
payload_scaling,TCP,10ms,128B,13,24051,5.3220
payload_scaling,TCP,10ms,128B,14,23624,5.4182
payload_scaling,TCP,10ms,128B,15,25757,4.9695
payload_scaling,TCP,10ms,128B,16,24522,5.2198
payload_scaling,TCP,10ms,128B,17,23747,5.3902
payload_scaling,TCP,10ms,128B,18,136634,0.9368
payload_scaling,TCP,10ms,128B,19,24288,5.2701
payload_scaling,TCP,10ms,128B,20,91047,1.4059
payload_scaling,TCP,10ms,128B,21,24177,5.2943
payload_scaling,TCP,10ms,128B,22,85160,1.5031
payload_scaling,TCP,10ms,128B,23,28158,4.5458
payload_scaling,TCP,10ms,128B,24,72040,1.7768
payload_scaling,TCP,10ms,128B,25,23739,5.3920
payload_scaling,TCP,10ms,128B,26,25222,5.0749
payload_scaling,TCP,10ms,128B,27,37841,3.3826
payload_scaling,TCP,10ms,128B,28,24857,5.1495
payload_scaling,TCP,10ms,128B,29,24285,5.2707
payload_scaling,TCP,10ms,128B,30,23510,5.4445
payload_scaling,TCP,10ms,128B,31,23665,5.4088
payload_scaling,TCP,10ms,128B,32,43416,2.9482
payload_scaling,TCP,10ms,128B,33,23967,5.3407
payload_scaling,TCP,10ms,128B,34,23396,5.4710
payload_scaling,TCP,10ms,128B,35,30421,4.2076
payload_scaling,TCP,10ms,128B,36,28467,4.4964
payload_scaling,TCP,10ms,128B,37,26729,4.7888
payload_scaling,TCP,10ms,128B,38,23821,5.3734
payload_scaling,TCP,10ms,128B,39,23935,5.3478
payload_scaling,TCP,10ms,128B,40,54688,2.3406
payload_scaling,TCP,10ms,128B,41,25709,4.9788
payload_scaling,TCP,10ms,128B,42,24039,5.3247
payload_scaling,TCP,10ms,128B,43,24651,5.1925
payload_scaling,TCP,10ms,128B,44,24696,5.1830
payload_scaling,TCP,10ms,128B,45,24162,5.2976
payload_scaling,TCP,10ms,128B,46,23710,5.3986
payload_scaling,TCP,10ms,128B,47,29428,4.3496
payload_scaling,TCP,10ms,128B,48,23687,5.4038
payload_scaling,TCP,10ms,128B,49,23837,5.3698
payload_scaling,TCP,10ms,128B,50,33142,3.8622
payload_scaling,TCP,10ms,1KB,1,61410,16.6748
payload_scaling,TCP,10ms,1KB,2,56238,18.2083
payload_scaling,TCP,10ms,1KB,3,37561,27.2623
payload_scaling,TCP,10ms,1KB,4,37873,27.0377
payload_scaling,TCP,10ms,1KB,5,52661,19.4451
payload_scaling,TCP,10ms,1KB,6,37085,27.6122
payload_scaling,TCP,10ms,1KB,7,43347,23.6233
payload_scaling,TCP,10ms,1KB,8,71449,14.3319
payload_scaling,TCP,10ms,1KB,9,37993,26.9523
payload_scaling,TCP,10ms,1KB,10,55600,18.4173
payload_scaling,TCP,10ms,1KB,11,47725,21.4563
payload_scaling,TCP,10ms,1KB,12,39236,26.0985
payload_scaling,TCP,10ms,1KB,13,37313,27.4435
payload_scaling,TCP,10ms,1KB,14,38734,26.4367
payload_scaling,TCP,10ms,1KB,15,38843,26.3625
payload_scaling,TCP,10ms,1KB,16,63406,16.1499
payload_scaling,TCP,10ms,1KB,17,38663,26.4853
payload_scaling,TCP,10ms,1KB,18,37851,27.0534
payload_scaling,TCP,10ms,1KB,19,38642,26.4997
payload_scaling,TCP,10ms,1KB,20,37230,27.5047
payload_scaling,TCP,10ms,1KB,21,39372,26.0083
