benchmark,transport,scenario,sample,control_latency_ns,total_iteration_ns
hol_blocking,TCP,wan,14,109271686,1476435870
hol_blocking,TCP,wan,15,175856509,3274651295
hol_blocking,TCP,wan,16,168659294,1506291215
hol_blocking,TCP,wan,17,111375854,1476763207
hol_blocking,TCP,wan,18,107123730,1472002035
hol_blocking,TCP,wan,19,1032421168,1473224527
hol_blocking,TCP,wan,20,112059629,1467098267
hol_blocking,TCP,wan,21,110148237,1467011352
hol_blocking,TCP,wan,22,108599527,1480169456
hol_blocking,TCP,wan,23,109341060,1481936952
hol_blocking,TCP,wan,24,1287594976,1465638807
hol_blocking,TCP,wan,25,108928497,1499263821
hol_blocking,TCP,wan,26,107939975,1478829552
hol_blocking,TCP,wan,27,171087904,1467604220
hol_blocking,TCP,wan,28,108158405,1462582555
hol_blocking,TCP,wan,29,557864095,1469450342
hol_blocking,TCP,wan,30,101667331,1464133267
hol_blocking,QUIC,wan,1,22779772,2402832601
hol_blocking,QUIC,wan,2,49833116,4006073605
hol_blocking,QUIC,wan,3,44189100,4650599851
hol_blocking,QUIC,wan,4,52357076,4067756894
hol_blocking,QUIC,wan,5,43983116,3737324706
hol_blocking,QUIC,wan,6,40642588,3781507862
hol_blocking,QUIC,wan,7,51720969,4224077680
hol_blocking,QUIC,wan,8,29923279,3929800272
hol_blocking,QUIC,wan,9,50582037,3471380360
hol_blocking,QUIC,wan,10,51067644,3877278560
hol_blocking,QUIC,wan,11,46489528,4913265666
hol_blocking,QUIC,wan,12,47701324,3931722162
hol_blocking,QUIC,wan,13,39565834,3692994701
hol_blocking,QUIC,wan,14,49666158,4309553170
hol_blocking,QUIC,wan,15,42255749,3969344037
hol_blocking,QUIC,wan,16,41717400,4057236086
hol_blocking,QUIC,wan,17,71887042,3912869993
hol_blocking,QUIC,wan,18,39966548,3394573121
hol_blocking,QUIC,wan,19,49313517,3884757260
hol_blocking,QUIC,wan,20,46928922,3729962527
hol_blocking,QUIC,wan,21,24791768,4140681412
hol_blocking,QUIC,wan,22,43172069,3970123980
hol_blocking,QUIC,wan,23,51302312,3079664243
hol_blocking,QUIC,wan,24,52938352,3580815496
hol_blocking,QUIC,wan,25,40660661,3581484419
hol_blocking,QUIC,wan,26,43765831,2978561210
hol_blocking,QUIC,wan,27,41952144,4260828849
hol_blocking,QUIC,wan,28,50051588,3720029828
hol_blocking,QUIC,wan,29,42389670,4351076580
hol_blocking,QUIC,wan,30,51870150,4369773390
hol_blocking,TCP,harsh,1,55913419,3483141421
hol_blocking,TCP,harsh,2,383696428,2871271999
hol_blocking,TCP,harsh,3,1521731777,2923055286
hol_blocking,TCP,harsh,4,207141588,3078079842
hol_blocking,TCP,harsh,5,1108927226,3107707282
hol_blocking,TCP,harsh,6,190480295,3035519209
hol_blocking,TCP,harsh,7,245815718,3075066828
hol_blocking,TCP,harsh,8,303064836,3255055480
hol_blocking,TCP,harsh,9,273097000,4393122722
hol_blocking,TCP,harsh,10,209906099,3091246337
hol_blocking,TCP,harsh,11,487372633,3102105033
hol_blocking,TCP,harsh,12,196156487,3325211670
hol_blocking,TCP,harsh,13,431902944,3229370987
hol_blocking,TCP,harsh,14,63467127,3255581849
hol_blocking,TCP,harsh,15,891526994,3286048292
hol_blocking,TCP,harsh,16,366277901,2918959007
hol_blocking,TCP,harsh,17,61118427,2922744909
hol_blocking,TCP,harsh,18,202540437,2946213631
