benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus,TCP,50ms,4,36,151533361
steady_state_consensus,TCP,50ms,4,37,151609688
steady_state_consensus,TCP,50ms,4,38,151782509
steady_state_consensus,TCP,50ms,4,39,151391324
steady_state_consensus,TCP,50ms,4,40,151915622
steady_state_consensus,TCP,50ms,4,41,151422589
steady_state_consensus,TCP,50ms,4,42,151909876
steady_state_consensus,TCP,50ms,4,43,151702486
steady_state_consensus,TCP,50ms,4,44,151725435
steady_state_consensus,TCP,50ms,4,45,151626381
steady_state_consensus,TCP,50ms,4,46,151485582
steady_state_consensus,TCP,50ms,4,47,152002062
steady_state_consensus,TCP,50ms,4,48,151804646
steady_state_consensus,TCP,50ms,4,49,151578504
steady_state_consensus,TCP,50ms,4,50,151805764
steady_state_consensus,QUIC,50ms,4,1,152063954
steady_state_consensus,QUIC,50ms,4,2,151661064
steady_state_consensus,QUIC,50ms,4,3,152149116
steady_state_consensus,QUIC,50ms,4,4,151420036
steady_state_consensus,QUIC,50ms,4,5,151464430
steady_state_consensus,QUIC,50ms,4,6,151567202
steady_state_consensus,QUIC,50ms,4,7,151665513
steady_state_consensus,QUIC,50ms,4,8,151881330
steady_state_consensus,QUIC,50ms,4,9,151871082
steady_state_consensus,QUIC,50ms,4,10,151508271
steady_state_consensus,QUIC,50ms,4,11,151690660
steady_state_consensus,QUIC,50ms,4,12,151756752
steady_state_consensus,QUIC,50ms,4,13,151776108
steady_state_consensus,QUIC,50ms,4,14,151627986
steady_state_consensus,QUIC,50ms,4,15,151530436
steady_state_consensus,QUIC,50ms,4,16,151627624
steady_state_consensus,QUIC,50ms,4,17,151546482
steady_state_consensus,QUIC,50ms,4,18,152005415
steady_state_consensus,QUIC,50ms,4,19,152079921
steady_state_consensus,QUIC,50ms,4,20,151900670
steady_state_consensus,QUIC,50ms,4,21,151969216
steady_state_consensus,QUIC,50ms,4,22,151634872
steady_state_consensus,QUIC,50ms,4,23,151741142
steady_state_consensus,QUIC,50ms,4,24,151904116
steady_state_consensus,QUIC,50ms,4,25,151777050
steady_state_consensus,QUIC,50ms,4,26,151583558
steady_state_consensus,QUIC,50ms,4,27,152064336
steady_state_consensus,QUIC,50ms,4,28,151824641
steady_state_consensus,QUIC,50ms,4,29,151889682
steady_state_consensus,QUIC,50ms,4,30,151562573
steady_state_consensus,QUIC,50ms,4,31,151904346
steady_state_consensus,QUIC,50ms,4,32,152033864
steady_state_consensus,QUIC,50ms,4,33,152527455
steady_state_consensus,QUIC,50ms,4,34,151701916
steady_state_consensus,QUIC,50ms,4,35,151304957
steady_state_consensus,QUIC,50ms,4,36,151064037
steady_state_consensus,QUIC,50ms,4,37,151175233
steady_state_consensus,QUIC,50ms,4,38,151356650
steady_state_consensus,QUIC,50ms,4,39,151201645
steady_state_consensus,QUIC,50ms,4,40,151021333
steady_state_consensus,QUIC,50ms,4,41,151829301
steady_state_consensus,QUIC,50ms,4,42,151402151
steady_state_consensus,QUIC,50ms,4,43,151375660
steady_state_consensus,QUIC,50ms,4,44,151410746
steady_state_consensus,QUIC,50ms,4,45,151215044
steady_state_consensus,QUIC,50ms,4,46,151533174
steady_state_consensus,QUIC,50ms,4,47,151415827
steady_state_consensus,QUIC,50ms,4,48,151632673
steady_state_consensus,QUIC,50ms,4,49,151270333
steady_state_consensus,QUIC,50ms,4,50,151389547
steady_state_consensus,TCP,1pct_loss,4,1,32251408
steady_state_consensus,TCP,1pct_loss,4,2,31087042
steady_state_consensus,TCP,1pct_loss,4,3,30906053
steady_state_consensus,TCP,1pct_loss,4,4,30718066
steady_state_consensus,TCP,1pct_loss,4,5,31239457
steady_state_consensus,TCP,1pct_loss,4,6,30968302
steady_state_consensus,TCP,1pct_loss,4,7,31117970
steady_state_consensus,TCP,1pct_loss,4,8,31051672
steady_state_consensus,TCP,1pct_loss,4,9,31056390
steady_state_consensus,TCP,1pct_loss,4,10,31565050
steady_state_consensus,TCP,1pct_loss,4,11,31359571
steady_state_consensus,TCP,1pct_loss,4,12,31092083
steady_state_consensus,TCP,1pct_loss,4,13,50756358
steady_state_consensus,TCP,1pct_loss,4,14,31011167
steady_state_consensus,TCP,1pct_loss,4,15,30896503
steady_state_consensus,TCP,1pct_loss,4,16,31091449
steady_state_consensus,TCP,1pct_loss,4,17,31240204
steady_state_consensus,TCP,1pct_loss,4,18,31120342
steady_state_consensus,TCP,1pct_loss,4,19,30895481
steady_state_consensus,TCP,1pct_loss,4,20,30853210
steady_state_consensus,TCP,1pct_loss,4,21,31094569
steady_state_consensus,TCP,1pct_loss,4,22,31037085
steady_state_consensus,TCP,1pct_loss,4,23,40990508
steady_state_consensus,TCP,1pct_loss,4,24,30979853
steady_state_consensus,TCP,1pct_loss,4,25,50536652
steady_state_consensus,TCP,1pct_loss,4,26,31186654
steady_state_consensus,TCP,1pct_loss,4,27,31438150
steady_state_consensus,TCP,1pct_loss,4,28,31389019
steady_state_consensus,TCP,1pct_loss,4,29,31156388
steady_state_consensus,TCP,1pct_loss,4,30,31177349
steady_state_consensus,TCP,1pct_loss,4,31,31200721
steady_state_consensus,TCP,1pct_loss,4,32,31123660
steady_state_consensus,TCP,1pct_loss,4,33,30950829
steady_state_consensus,TCP,1pct_loss,4,34,60671758
steady_state_consensus,TCP,1pct_loss,4,35,53905256
steady_state_consensus,TCP,1pct_loss,4,36,31092659
steady_state_consensus,TCP,1pct_loss,4,37,31218548
steady_state_consensus,TCP,1pct_loss,4,38,30784218
steady_state_consensus,TCP,1pct_loss,4,39,31132140
steady_state_consensus,TCP,1pct_loss,4,40,31452572
steady_state_consensus,TCP,1pct_loss,4,41,32026695
steady_state_consensus,TCP,1pct_loss,4,42,31309301
steady_state_consensus,TCP,1pct_loss,4,43,31394920
steady_state_consensus,TCP,1pct_loss,4,44,31198953
steady_state_consensus,TCP,1pct_loss,4,45,31191342
steady_state_consensus,TCP,1pct_loss,4,46,31224762
steady_state_consensus,TCP,1pct_loss,4,47,30889672
steady_state_consensus,TCP,1pct_loss,4,48,30780128
steady_state_consensus,TCP,1pct_loss,4,49,30960079
steady_state_consensus,TCP,1pct_loss,4,50,31073430
steady_state_consensus,QUIC,1pct_loss,4,1,32431715
steady_state_consensus,QUIC,1pct_loss,4,2,31476031
steady_state_consensus,QUIC,1pct_loss,4,3,31180598
steady_state_consensus,QUIC,1pct_loss,4,4,31116251
steady_state_consensus,QUIC,1pct_loss,4,5,31251605
steady_state_consensus,QUIC,1pct_loss,4,6,31269449
steady_state_consensus,QUIC,1pct_loss,4,7,33025199
steady_state_consensus,QUIC,1pct_loss,4,8,31510777
steady_state_consensus,QUIC,1pct_loss,4,9,34052045
steady_state_consensus,QUIC,1pct_loss,4,10,31338310
steady_state_consensus,QUIC,1pct_loss,4,11,31321620
steady_state_consensus,QUIC,1pct_loss,4,12,34041419
steady_state_consensus,QUIC,1pct_loss,4,13,43646366
steady_state_consensus,QUIC,1pct_loss,4,14,31332414
steady_state_consensus,QUIC,1pct_loss,4,15,31634095
steady_state_consensus,QUIC,1pct_loss,4,16,41481602
steady_state_consensus,QUIC,1pct_loss,4,17,31084249
steady_state_consensus,QUIC,1pct_loss,4,18,31169778
steady_state_consensus,QUIC,1pct_loss,4,19,31082221
steady_state_consensus,QUIC,1pct_loss,4,20,31161271
steady_state_consensus,QUIC,1pct_loss,4,21,31191537
