benchmark,transport,scenario,sample,value_ns
message_latency,QUIC,50ms,86,50615907
message_latency,QUIC,50ms,87,50367897
message_latency,QUIC,50ms,88,50469001
message_latency,QUIC,50ms,89,50691206
message_latency,QUIC,50ms,90,50512711
message_latency,QUIC,50ms,91,50435701
message_latency,QUIC,50ms,92,50442386
message_latency,QUIC,50ms,93,50400239
message_latency,QUIC,50ms,94,50460982
message_latency,QUIC,50ms,95,50436061
message_latency,QUIC,50ms,96,50360444
message_latency,QUIC,50ms,97,50502754
message_latency,QUIC,50ms,98,50432707
message_latency,QUIC,50ms,99,50388720
message_latency,QUIC,50ms,100,50368462
message_latency,TCP,jitter_30ms,1,41052639
message_latency,TCP,jitter_30ms,2,35318354
message_latency,TCP,jitter_30ms,3,40601452
message_latency,TCP,jitter_30ms,4,20425155
message_latency,TCP,jitter_30ms,5,8065000
message_latency,TCP,jitter_30ms,6,29393431
message_latency,TCP,jitter_30ms,7,23221045
message_latency,TCP,jitter_30ms,8,4065572
message_latency,TCP,jitter_30ms,9,32472625
message_latency,TCP,jitter_30ms,10,27339124
message_latency,TCP,jitter_30ms,11,46345322
message_latency,TCP,jitter_30ms,12,22692791
message_latency,TCP,jitter_30ms,13,33798277
message_latency,TCP,jitter_30ms,14,49619532
message_latency,TCP,jitter_30ms,15,41438931
message_latency,TCP,jitter_30ms,16,25613694
message_latency,TCP,jitter_30ms,17,39031237
message_latency,TCP,jitter_30ms,18,27288269
message_latency,TCP,jitter_30ms,19,25021160
message_latency,TCP,jitter_30ms,20,47772975
message_latency,TCP,jitter_30ms,21,68023366
message_latency,TCP,jitter_30ms,22,32618243
message_latency,TCP,jitter_30ms,23,43040000
message_latency,TCP,jitter_30ms,24,43433234
message_latency,TCP,jitter_30ms,25,49569217
message_latency,TCP,jitter_30ms,26,38809203
message_latency,TCP,jitter_30ms,27,49429949
message_latency,TCP,jitter_30ms,28,13452098
message_latency,TCP,jitter_30ms,29,26684348
message_latency,TCP,jitter_30ms,30,33362510
message_latency,TCP,jitter_30ms,31,5645809
message_latency,TCP,jitter_30ms,32,15772154
message_latency,TCP,jitter_30ms,33,21879988
message_latency,TCP,jitter_30ms,34,33013012
message_latency,TCP,jitter_30ms,35,26527074
message_latency,TCP,jitter_30ms,36,48596148
message_latency,TCP,jitter_30ms,37,30622363
message_latency,TCP,jitter_30ms,38,4306033
message_latency,TCP,jitter_30ms,39,41613164
message_latency,TCP,jitter_30ms,40,81813067
message_latency,TCP,jitter_30ms,41,46112727
message_latency,TCP,jitter_30ms,42,44044522
message_latency,TCP,jitter_30ms,43,60594646
message_latency,TCP,jitter_30ms,44,21668570
message_latency,TCP,jitter_30ms,45,10020667
message_latency,TCP,jitter_30ms,46,18843345
message_latency,TCP,jitter_30ms,47,23499600
message_latency,TCP,jitter_30ms,48,32166756
message_latency,TCP,jitter_30ms,49,96552697
message_latency,TCP,jitter_30ms,50,37619461
message_latency,TCP,jitter_30ms,51,32323303
message_latency,TCP,jitter_30ms,52,40810612
message_latency,TCP,jitter_30ms,53,33851949
message_latency,TCP,jitter_30ms,54,8047676
message_latency,TCP,jitter_30ms,55,28698139
message_latency,TCP,jitter_30ms,56,11646534
message_latency,TCP,jitter_30ms,57,47507927
message_latency,TCP,jitter_30ms,58,20382375
message_latency,TCP,jitter_30ms,59,37598320
message_latency,TCP,jitter_30ms,60,53604036
message_latency,TCP,jitter_30ms,61,25192628
message_latency,TCP,jitter_30ms,62,16948005
message_latency,TCP,jitter_30ms,63,26486096
message_latency,TCP,jitter_30ms,64,29969653
message_latency,TCP,jitter_30ms,65,41697529
message_latency,TCP,jitter_30ms,66,37155088
message_latency,TCP,jitter_30ms,67,47246948
message_latency,TCP,jitter_30ms,68,18362383
message_latency,TCP,jitter_30ms,69,73983584
message_latency,TCP,jitter_30ms,70,42067497
message_latency,TCP,jitter_30ms,71,28074934
message_latency,TCP,jitter_30ms,72,41223989
message_latency,TCP,jitter_30ms,73,48464882
message_latency,TCP,jitter_30ms,74,13669665
message_latency,TCP,jitter_30ms,75,25624580
message_latency,TCP,jitter_30ms,76,41328555
message_latency,TCP,jitter_30ms,77,40833927
message_latency,TCP,jitter_30ms,78,40505049
message_latency,TCP,jitter_30ms,79,41058235
message_latency,TCP,jitter_30ms,80,34419091
message_latency,TCP,jitter_30ms,81,31078972
message_latency,TCP,jitter_30ms,82,30926568
message_latency,TCP,jitter_30ms,83,29828988
message_latency,TCP,jitter_30ms,84,60915165
message_latency,TCP,jitter_30ms,85,45448980
message_latency,TCP,jitter_30ms,86,42210988
message_latency,TCP,jitter_30ms,87,27497302
message_latency,TCP,jitter_30ms,88,35452493
message_latency,TCP,jitter_30ms,89,38671526
message_latency,TCP,jitter_30ms,90,18578873
message_latency,TCP,jitter_30ms,91,47113221
message_latency,TCP,jitter_30ms,92,79459439
message_latency,TCP,jitter_30ms,93,20134370
message_latency,TCP,jitter_30ms,94,25298823
message_latency,TCP,jitter_30ms,95,47420304
message_latency,TCP,jitter_30ms,96,43589288
message_latency,TCP,jitter_30ms,97,47949300
message_latency,TCP,jitter_30ms,98,19542214
message_latency,TCP,jitter_30ms,99,33322701
message_latency,TCP,jitter_30ms,100,81540591
message_latency,QUIC,jitter_30ms,1,28187169
message_latency,QUIC,jitter_30ms,2,19566831
message_latency,QUIC,jitter_30ms,3,16310832
message_latency,QUIC,jitter_30ms,4,21511007
