benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,TCP,5pct_loss,4,25,53217360
consensus_with_setup,TCP,5pct_loss,4,26,54386616
consensus_with_setup,TCP,5pct_loss,4,27,52855864
consensus_with_setup,TCP,5pct_loss,4,28,101488738
consensus_with_setup,TCP,5pct_loss,4,29,1131125704
consensus_with_setup,TCP,5pct_loss,4,30,324673578
consensus_with_setup,QUIC,5pct_loss,4,1,252593316
consensus_with_setup,QUIC,5pct_loss,4,2,308148588
consensus_with_setup,QUIC,5pct_loss,4,3,138798199
consensus_with_setup,QUIC,5pct_loss,4,4,255313475
consensus_with_setup,QUIC,5pct_loss,4,5,137425786
consensus_with_setup,QUIC,5pct_loss,4,6,260000458
consensus_with_setup,QUIC,5pct_loss,4,7,126176186
consensus_with_setup,QUIC,5pct_loss,4,8,70234389
consensus_with_setup,QUIC,5pct_loss,4,9,152492598
consensus_with_setup,QUIC,5pct_loss,4,10,251291945
consensus_with_setup,QUIC,5pct_loss,4,11,237553107
consensus_with_setup,QUIC,5pct_loss,4,12,381439813
consensus_with_setup,QUIC,5pct_loss,4,13,70707621
consensus_with_setup,QUIC,5pct_loss,4,14,106944866
consensus_with_setup,QUIC,5pct_loss,4,15,171177641
consensus_with_setup,QUIC,5pct_loss,4,16,197957158
consensus_with_setup,QUIC,5pct_loss,4,17,111819235
consensus_with_setup,QUIC,5pct_loss,4,18,289172980
consensus_with_setup,QUIC,5pct_loss,4,19,144241701
consensus_with_setup,QUIC,5pct_loss,4,20,117619788
consensus_with_setup,QUIC,5pct_loss,4,21,139238402
consensus_with_setup,QUIC,5pct_loss,4,22,128543957
consensus_with_setup,QUIC,5pct_loss,4,23,130309153
consensus_with_setup,QUIC,5pct_loss,4,24,133905734
consensus_with_setup,QUIC,5pct_loss,4,25,263335357
consensus_with_setup,QUIC,5pct_loss,4,26,68932723
consensus_with_setup,QUIC,5pct_loss,4,27,181075049
consensus_with_setup,QUIC,5pct_loss,4,28,128739043
consensus_with_setup,QUIC,5pct_loss,4,29,129166415
consensus_with_setup,QUIC,5pct_loss,4,30,588629471
consensus_with_setup,TCP,wan,4,1,1191262401
consensus_with_setup,TCP,wan,4,2,285817884
consensus_with_setup,TCP,wan,4,3,292842914
consensus_with_setup,TCP,wan,4,4,199103712
consensus_with_setup,TCP,wan,4,5,198366543
consensus_with_setup,TCP,wan,4,6,1193620852
consensus_with_setup,TCP,wan,4,7,199566268
consensus_with_setup,TCP,wan,4,8,1225284650
consensus_with_setup,TCP,wan,4,9,199154463
consensus_with_setup,TCP,wan,4,10,200501961
consensus_with_setup,TCP,wan,4,11,200463220
consensus_with_setup,TCP,wan,4,12,275499514
consensus_with_setup,TCP,wan,4,13,193268255
consensus_with_setup,TCP,wan,4,14,201688450
consensus_with_setup,TCP,wan,4,15,198288780
consensus_with_setup,TCP,wan,4,16,196980028
consensus_with_setup,TCP,wan,4,17,198148919
consensus_with_setup,TCP,wan,4,18,197563321
consensus_with_setup,TCP,wan,4,19,200185829
consensus_with_setup,TCP,wan,4,20,197621564
consensus_with_setup,TCP,wan,4,21,194472040
consensus_with_setup,TCP,wan,4,22,197696078
consensus_with_setup,TCP,wan,4,23,1229982220
consensus_with_setup,TCP,wan,4,24,199647349
consensus_with_setup,TCP,wan,4,25,196728294
consensus_with_setup,TCP,wan,4,26,198285152
consensus_with_setup,TCP,wan,4,27,196665939
consensus_with_setup,TCP,wan,4,28,199177532
consensus_with_setup,TCP,wan,4,29,200597406
consensus_with_setup,TCP,wan,4,30,200077605
consensus_with_setup,QUIC,wan,4,1,222322612
consensus_with_setup,QUIC,wan,4,2,222911852
consensus_with_setup,QUIC,wan,4,3,474224810
consensus_with_setup,QUIC,wan,4,4,215183684
consensus_with_setup,QUIC,wan,4,5,217977461
consensus_with_setup,QUIC,wan,4,6,218297848
consensus_with_setup,QUIC,wan,4,7,317757249
consensus_with_setup,QUIC,wan,4,8,218816791
