benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus_7n,QUIC,wan,7,7,126515493
steady_state_consensus_7n,QUIC,wan,7,8,121201429
steady_state_consensus_7n,QUIC,wan,7,9,120563953
steady_state_consensus_7n,QUIC,wan,7,10,121249940
steady_state_consensus_7n,QUIC,wan,7,11,114614667
steady_state_consensus_7n,QUIC,wan,7,12,119343989
steady_state_consensus_7n,QUIC,wan,7,13,123550114
steady_state_consensus_7n,QUIC,wan,7,14,121751302
steady_state_consensus_7n,QUIC,wan,7,15,116253648
steady_state_consensus_7n,QUIC,wan,7,16,119233997
steady_state_consensus_7n,QUIC,wan,7,17,116189786
steady_state_consensus_7n,QUIC,wan,7,18,117742766
steady_state_consensus_7n,QUIC,wan,7,19,119014775
steady_state_consensus_7n,QUIC,wan,7,20,120784488
steady_state_consensus_7n,QUIC,wan,7,21,122402626
steady_state_consensus_7n,QUIC,wan,7,22,122055089
steady_state_consensus_7n,QUIC,wan,7,23,122396361
steady_state_consensus_7n,QUIC,wan,7,24,123803684
steady_state_consensus_7n,QUIC,wan,7,25,122861454
steady_state_consensus_7n,QUIC,wan,7,26,148226432
steady_state_consensus_7n,QUIC,wan,7,27,121925629
steady_state_consensus_7n,QUIC,wan,7,28,108181830
steady_state_consensus_7n,QUIC,wan,7,29,123291408
steady_state_consensus_7n,QUIC,wan,7,30,122651528
steady_state_consensus_7n,TCP,harsh,7,1,348995959
steady_state_consensus_7n,TCP,harsh,7,2,287335214
steady_state_consensus_7n,TCP,harsh,7,3,287174179
steady_state_consensus_7n,TCP,harsh,7,4,276877419
steady_state_consensus_7n,TCP,harsh,7,5,355004336
steady_state_consensus_7n,TCP,harsh,7,6,356963731
steady_state_consensus_7n,TCP,harsh,7,7,465036630
steady_state_consensus_7n,TCP,harsh,7,8,352114226
steady_state_consensus_7n,TCP,harsh,7,9,398529203
steady_state_consensus_7n,TCP,harsh,7,10,354071035
steady_state_consensus_7n,TCP,harsh,7,11,356276569
steady_state_consensus_7n,TCP,harsh,7,12,343226990
steady_state_consensus_7n,TCP,harsh,7,13,397562097
steady_state_consensus_7n,TCP,harsh,7,14,283708961
steady_state_consensus_7n,TCP,harsh,7,15,289033090
steady_state_consensus_7n,TCP,harsh,7,16,424775584
steady_state_consensus_7n,TCP,harsh,7,17,255835905
steady_state_consensus_7n,TCP,harsh,7,18,296255703
steady_state_consensus_7n,TCP,harsh,7,19,279682238
steady_state_consensus_7n,TCP,harsh,7,20,355221668
steady_state_consensus_7n,TCP,harsh,7,21,389207345
steady_state_consensus_7n,TCP,harsh,7,22,671839605
steady_state_consensus_7n,TCP,harsh,7,23,354824612
steady_state_consensus_7n,TCP,harsh,7,24,277832269
steady_state_consensus_7n,TCP,harsh,7,25,327308888
steady_state_consensus_7n,TCP,harsh,7,26,356885007
steady_state_consensus_7n,TCP,harsh,7,27,281967663
steady_state_consensus_7n,TCP,harsh,7,28,410782097
steady_state_consensus_7n,TCP,harsh,7,29,342403210
steady_state_consensus_7n,TCP,harsh,7,30,436098790
